Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
227/2020,DISPENSA DE LICITAÇÃO,136,04-08-2020 15:00,,05-08-2020,Encerrado,"Aquisição em caráter emergencial de Equipamentos de Proteção Individual - EPI para os profissionais de Saúde Pública do Município, conforme Termo de Compromisso Autos MPT: ",,,,,
,,,,,,,PAJ 000170.2008.03.000/08. Conta 6000.60-6.,,,,,
226/2020,DISPENSA DE LICITAÇÃO,135,04-08-2020 14:00,,05-08-2020,Encerrado,"Aquisição de suplemento alimentar para o paciente Pedro Antônio Ferreira de Lima, conforme determinação de Ação Civil Pública nº 5001026-15.2019.8.13.0528.",,,,,
225/2020,DISPENSA DE LICITAÇÃO,134,04-08-2020 13:00,,05-08-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Katariny Aparecida Tirone Lopes, conforme determinação de Ação Civil Pública nº 0022832-31.2018.8.13.0528.",,,,,
224/2020,DISPENSA DE LICITAÇÃO,133,04-08-2020 10:00,,05-08-2020,Encerrado,"Aquisição de medicamento excepcional para a paciente Maria Sebastiana Vilela Gomes, conforme determinação de Ação Civil Pública nº 0016186-10.2015.8.13.0528.",,,,,
223/2020,DISPENSA DE LICITAÇÃO,132,04-08-2020 09:00,,05-08-2020,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528.",,,,,
210/2020,PREGÃO PRESENCIAL,41,04-08-2020 08:30,,22-07-2020,Encerrado,"Aquisição de um veículo quatro portas de passeio para atender as necessidades da Secretaria de Educação, a serviço das Escolas Municipais e um veículo tipo furgão com compartimento de carga, para atender as necessidades da Secretaria de Educação, a serviço da Merenda Escolar.",,,,,
208/2020,PREGÃO PRESENCIAL,40,03-08-2020 08:30,,16-07-2020,Encerrado,"Contratação de empresa prestadora de serviços de serralheria em geral referente a confecção e instalação de grades (tipo alambrado), cobertura em estrutura metálica, guarda corpos e envelopamento de tubos pluviais, atendendo as necessidades da Escola Municipal da Vila Vicentina, Secretaria de Ação Social, Trabalho e Promoção Humana e Secretaria de Esporte e Lazer.",,,,,
222/2020,DISPENSA DE LICITAÇÃO,131,31-07-2020 15:00,,03-08-2020,Encerrado,"Aquisição em Totem Dispenser de solução de álcool em gel higienizador antisséptico para ser utilizados nas portas de entradas das Unidades de Saúde do Município e na Secretaria de Saúde, como forma de prevenção ao novo Coronavírus (SARS-COV2) COVID-19. Conforme recurso repassado pelo Fundo Nacional de Saúde para Incremento PAB - Conta 6240224.",,,,,
207/2020,TOMADA DE PREÇOS,17,31-07-2020 08:30,,15-07-2020,Encerrado,Contratação de pessoa jurídica especializada para execução de obras/serviços de engenharia para a construção de uma cobertura da quadra de esportes do Distrito de Jardinésia no município de Prata-MG.,,,,,
203/2020,TOMADA DE PREÇOS,16,30-07-2020 08:30,,15-07-2020,Encerrado,Contratação de pessoa jurídica especializada para execução de obras/serviços de engenharia para a construção de uma cobertura da quadra de esportes da Comunidade Boa Vista no município de Prata-MG.,,,,,
220/2020,DISPENSA DE LICITAÇÃO,130,29-07-2020 15:00,,30-07-2020,Encerrado,Contratação emergencial de Assessoria Contábil Financeira para envio de Prestação de Contas do período de Janeiro a Junho - 2020.,,,,,
200/2020,PREGÃO PRESENCIAL,39,28-07-2020 08:30,,13-07-2020,Encerrado,"Aquisição de brinquedos para playground no espaço público Praça Juscelino Kubitschek - JK, destinado para área de lazer, atendendo ao Projeto Infância Protegida da Secretaria de Ação Social, Trabalho e Promoção Humana - Recursos do FIA, C/C 16.113-6.",,,,,
218/2020,DISPENSA DE LICITAÇÃO,129,27-07-2020 15:00,,28-07-2020,Encerrado,"Aquisição de peças novas e mão de obra mecânica para revisão de garantia de 5 horas para Trator, marca New Holland, modelo TL 75, chassi HCCZTL75HEC133530, a serviço da Secretaria de Agricultura e Assistência Rural.",,,,,
216/2020,DISPENSA DE LICITAÇÃO,128,27-07-2020 14:00,,28-07-2020,Encerrado,"Aquisição em caráter emergencial de Kits testes rápido (IGG e IGM) para diagnostico de pacientes suspeitos de infecção pelo Coronavírus, conforme recurso repassado pelo Fundo Nacional de Saúde - Incremento PAB - COVID 19. Conta 6240224.",,,,,
215/2020,DISPENSA DE LICITAÇÃO,127,27-07-2020 13:00,,28-07-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Moana Silva Souza, conforme determinação de Ação Judicial nº 5000834-82.2019.8.13.0528.",,,,,
214/2020,DISPENSA DE LICITAÇÃO,126,27-07-2020 10:00,,28-07-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Maria Eduarda Amorim Dantas, conforme determinação de Ação Judicial nº 5000333-94.2020.8.13.0528.",,,,,
213/2020,DISPENSA DE LICITAÇÃO,125,27-07-2020 09:00,,28-07-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Camille Bianca Eulalio Souza, conforme determinação de Ação Judicial nº 0030869-23.2013.8.13.0528.",,,,,
199/2020,TOMADA DE PREÇOS,15,27-07-2020 08:30,,10-07-2020,Encerrado,"Contratação de empresa especializada para execução de obras/serviços de engenharia, visando a construção de uma Escola ""Escola Municipal Jacarandá Anexo União e Caridade"", situada na Rua dos Balsamos esquina com a Rua das Gameleiras s/n, bairro Jacarandá, no município de Prata/MG.",,,,,
212/2020,DISPENSA DE LICITAÇÃO,124,22-07-2020 15:00,,23-07-2020,Encerrado,Contratação de instituição bancária para operar os serviços de processamento e gerenciamento de créditos provenientes da Folha de Pagamento dos Agentes Políticos e Servidores Públicos da Prefeitura Municipal de Prata/MG.,,,,,
195/2020,PREGÃO - REGISTRO DE PREÇO,12,22-07-2020 08:30,,07-07-2020,Encerrado,"Registro de Preços para futura e eventual prestação de serviços de manutenção preventiva e corretiva, com fornecimento e instalação de peças originais e/ou genuínas, quando for o caso, em todos os veículos, máquinas e equipamentos mecânicos do Município de Prata/MG.",,,,,
211/2020,DISPENSA DE LICITAÇÃO,123,21-07-2020 15:00,,22-07-2020,Encerrado,"Aquisição de material hospitalar: tipo seringa descartável 10ml luer slip, para serem usadas na manutenção do Pronto Atendimento Municipal  PAM.",,,,,
194/2020,INEXIGIBILIDADE DE LICITAÇÃO,13,21-07-2020 14:00,,06-07-2020,Encerrado,"Credenciamento de profissionais e de pessoas jurídicas para prestação de serviços na área de Saúde para o ano de 2020, para as seguintes funções: médico ortopedista, médico cirurgião, procedimentos pequenas cirurgias e médicos plantonistas.",,,,,
193/2020,INEXIGIBILIDADE DE LICITAÇÃO,12,21-07-2020 08:30,,06-07-2020,Encerrado,"Credenciamento de pessoa jurídica para prestação de serviços na área de Saúde para o ano de 2020, para os seguintes exames: ressonância, endoscopia, colonoscopia, ",,,,,
,,,,,,,mamografia e tomografia.,,,,,
209/2020,DISPENSA DE LICITAÇÃO,122,15-07-2020 15:00,,16-07-2020,Encerrado,Aquisição em caráter emergencial de Álcool em Gel Higienizador Antisséptico para Unidades de Saúde do Município. Conforme recurso repassado pelo Fundo Nacional de Saúde para Incremento Temporário ao Custeio dos serviços de Atenção Básica em Saúde. Conta 6240224.,,,,,
187/2020,TOMADA DE PREÇOS,14,15-07-2020 08:30,,30-06-2020,Encerrado,"Contratação de empresa especializada para execução do projeto de obras de infraestrutura urbana, que tem como objetivo Pavimentação Asfáltica em Concreto Betuminoso Usinado a Quente (CBUQ) e execução de meios-fios e sarjetas em diversas ruas do Município de Prata/MG.",,,,,
206/2020,DISPENSA DE LICITAÇÃO,121,14-07-2020 10:00,,15-07-2020,Encerrado,"Aquisição de medicamento excepcional para a paciente Maria José Gonçalves da Silva, conforme determinação de Ação Civil Pública nº 0005738-70.2018.8.13.0528.",,,,,
205/2020,DISPENSA DE LICITAÇÃO,120,14-07-2020 09:00,,15-07-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Heloísa Rodrigues Moreira Leite, conforme determinação de Ação Civil Pública nº 5000307-96.2020.8.13.0528",,,,,
204/2020,DISPENSA DE LICITAÇÃO,119,14-07-2020 08:00,,15-07-2020,Encerrado,"Aquisição de material hospitalar para a paciente Camille Bianca Eulalio Souza, conforme determinação de Ação Judicial nº 0011446-43.2014.8.13.0528.",,,,,
202/2020,DISPENSA DE LICITAÇÃO,118,13-07-2020 14:00,,14-07-2020,Encerrado,Aquisição em caráter emergencial de medicamentos para serem usados em pacientes suspeitos ou com diagnostico de Coronavírus. Conforme repasse pelo Fundo Nacional de Saúde para ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA - COVID-19. Conta 6240224.,,,,,
201/2020,DISPENSA DE LICITAÇÃO,117,13-07-2020 10:00,,14-07-2020,Encerrado,"Locação de 03 (três) tendas 5x5 por 61 (sessenta e um) dias (período de 01/06/2020 a 31/07/2020) para as Unidades de Saúde, como medida de enfrentamento ao surto de coronavírus no município de Prata-MG. ",,,,,
188/2020,PREGÃO ELETRÔNICO,2,13-07-2020 08:30,,01-07-2020,Fracassado,"Aquisição de Patrulha Mecanizada, através de Convênio MAPA nº 892825/2019, celebrado entre o Ministério da Agricultura, Pecuária e Abastecimento e o Município de Prata/MG.",,,,,
198/2020,DISPENSA DE LICITAÇÃO,116,08-07-2020 15:00,,08-07-2020,Encerrado,Aquisição de máscaras de tecido para serem distribuídas a população Municipal. Conforme recurso repassado pelo Fundo Nacional de Saúde para INCREMENTO PAB. Conta 6240224.,,,,,
197/2020,DISPENSA DE LICITAÇÃO,115,08-07-2020 14:00,,08-07-2020,Encerrado,"Locação de cadeiras para as Unidades de Saúde, como medida de enfrentamento ao surto de coronavírus no município de Prata-MG.",,,,,
196/2020,DISPENSA DE LICITAÇÃO,114,08-07-2020 13:00,,09-07-2020,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528.",,,,,
182/2020,PREGÃO PRESENCIAL,38,07-07-2020 08:30,,25-06-2020,Encerrado,"Contratação de empresa de Engenharia ou Engenheiro Eletricista para elaboração de Projeto Elétrico Completo (locação dos pontos, comandos seção dos condutores, carga de cada circuito, carga total e etc.), elaboração de Projeto SPDA - Sistema de Proteção contra Descargas Atmosféricas, descrição da lista de materiais, inclusive planilha orçamentária com quantitativos e preços vigentes, para apresentação na Caixa Econômica Federal para Convênio da Quadra Poliesportiva do Bairro Primavera.",,,,,
178/2020,TOMADA DE PREÇOS,13,06-07-2020 08:30,,19-06-2020,Encerrado,"Contratação de pessoa jurídica especializada, sob regime de empreitada por preço global para execução de manutenção preventiva e corretiva do sistema de iluminação pública, incluindo o fornecimento de materiais, equipamentos e mão de obra (aproximadamente 4.067 pontos) no município de Prata/MG.",,,,,
177/2020,TOMADA DE PREÇOS,12,02-07-2020 08:30,,17-06-2020,Encerrado,"Contratação de empresa de engenharia para elaboração de projetos, fornecimento de materiais e execução de obras de extensão de redes para iluminação de Praças, com adequação de rede, conforme projeto elaborado e memorial descritivo, com fornecimento de mão de obra e material para os seguintes locais: Praça Arantes, Praça dos Maias, Praça Getúlio Vargas, Praça Antônio Terra, Praça XV de Novembro, sendo todas em área urbana do município de Prata/MG.",,,,,
192/2020,DISPENSA DE LICITAÇÃO,113,30-06-2020 14:00,,01-07-2020,Encerrado,Aquisição de medicamento excepcional para o paciente Edgar Costa Santos conforme determinação de Ação Civil Pública nº 0034394-17.2014.4.01.3803.,,,,,
191/2020,DISPENSA DE LICITAÇÃO,112,30-06-2020 13:00,,01-07-2020,Encerrado,"Aquisição de suplemento alimentar para o paciente Thalis Oliveira, conforme determinação de Ação Judicial nº 5000846-96.2019.8.13.0528.",,,,,
190/2020,DISPENSA DE LICITAÇÃO,111,30-06-2020 10:00,,01-07-2020,Encerrado,"Contratação de empresa para serviços xerográficos de Kits Escolares para as Escolas Municipais, onde estão sendo realizadas atividades remotas destinadas a atender os alunos da Educação Infantil e Ensino Fundamental das Unidades Escolares do Município de Prata-MG, devido a Pandemia -COVID-19. Decreto n° 3.487 de 28 de Abril de 2020.",,,,,
189/2020,DISPENSA DE LICITAÇÃO,110,30-06-2020 09:00,,01-07-2020,Encerrado,"Locação de imóvel urbano para instalação e uso do Serviço de Acolhimento Institucional, situado em Prata - MG, à Rua Presidente Antônio Carlos, nº 518, Centro, em atendimento ao Termo de Ajustamento de Conduta e Assunção de Obrigações, firmando entre o Ministério Público de Minas Gerais e o Município de Prata - MG.",,,,,
185/2020,PREGÃO - REGISTRO DE PREÇO,11,26-06-2020 10:00,,26-06-2020,Encerrado,"	
Adesão mediante ""CARONA"" à Ata de Registro de Preços n° 060/2019, através do Processo Licitatório PRC 021/2019 - Pregão PRG 040/2019  - Registro de Preço SRP 033/2019, realizado pela Prefeitura Municipal de Mariana/MG, referente aquisição de 01 (uma) Unidade Móvel para Castração de animais de pequeno porte, em atendimento a ",,,,,
,,,,,,,"demanda da Secretaria de Saúde.




",,,,,
186/2020,DISPENSA DE LICITAÇÃO,109,25-06-2020 10:00,,26-06-2020,Encerrado,Aquisição em caráter emergencial de equipamentos de Proteção Individual para servidores das Unidades de Saúde do Município. Conforme recurso repassado pelo Fundo Nacional de Saúde para ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA - COVID-19. Conta 6240224.,,,,,
172/2020,PREGÃO - REGISTRO DE PREÇO,10,25-06-2020 08:30,,10-06-2020,Encerrado,"Registro de preços para futura e eventual contratação de empresa especializada para prestação de serviços, com fornecimento de material, para execução de canaletas de drenagem, em diversas ruas e bairros para atender a demanda do Município de Prata-MG.",,,,,
184/2020,DISPENSA DE LICITAÇÃO,108,24-06-2020 14:00,,25-06-2020,Encerrado,"Aquisição de peças novas e serviço de mão de obra mecânica para revisão de garantia de 10.000 KM do veículo Pas/Automóvel Fiat Strada, placa QUZ-7476, ano 2019 e modelo 2020, a serviço da Secretaria de Serviços Públicos.",,,,,
183/2020,DISPENSA DE LICITAÇÃO,107,24-06-2020 13:00,,25-06-2020,Encerrado,"Aquisição de suplemento alimentar para o paciente Gustavo Gabriel Soares Silva, conforme determinação de Ação Civil Pública nº 5001028-82.2019.8.13.0528.",,,,,
171/2020,PREGÃO ELETRÔNICO,1,24-06-2020 08:30,,09-06-2020,Encerrado,"Aquisição de Patrulha Mecanizada, através de Convênio MAPA nº 888686/2019, celebrado entre o Ministério da Agricultura, Pecuária e Abastecimento e o Município de Prata/MG.",,,,,
170/2020,TOMADA DE PREÇOS,11,23-06-2020 08:30,,08-06-2020,Encerrado,"Contratação de empresa especializada na área de engenharia para elaboração de projetos, fornecimento de materiais e execução de obras de extensão de redes para iluminação de campos de futebol em locais diversos, com adequação de rede, conforme projeto elaborado e memorial descritivo, com fornecimento de mão de obra e materiais para os locais: Comunidade Boa Vista, Distrito de Patrimônio do Rio do Peixe e Povoado de Monjolinho.",,,,,
181/2020,DISPENSA DE LICITAÇÃO,106,22-06-2020 13:00,,23-06-2020,Encerrado,"Contratação de empresa prestadora de serviço médico hospitalar para realização de procedimento de aplicação Olho Esquerdo do medicamento Lucentis (medicamento incluso) para a paciente Homerina Ferreira Lima Freitas, conforme determinação de Ação Civil Pública nº 0000364-39.2019.8.13.0528.",,,,,
180/2020,DISPENSA DE LICITAÇÃO,105,19-06-2020 09:00,,22-06-2020,Encerrado,Aquisição de máscaras de tecido para serem distribuídas a população Municipal. Conforme recurso repassado pelo Fundo Nacional de Saúde para Incremento Temporário ao Custeio dos Serviços de Atenção Básica em Saúde. Conta 6240224.,,,,,
179/2020,DISPENSA DE LICITAÇÃO,104,19-06-2020 09:00,,22-06-2020,Encerrado,Aquisição de máscaras de tecido para serem distribuídas a população Municipal. Conforme recurso repassado pelo Fundo Nacional de Saúde para INCREMENTO PAB. Conta 6240224.,,,,,
167/2020,PREGÃO PRESENCIAL,37,19-06-2020 08:30,,05-06-2020,Encerrado,"contratação de empresa especializada para prestação de serviços de locação de máquinas do tipo: uma Escavadeira Hidráulica PC-200, um Caminhão Truck - 12m³ e uma Retroescavadeira, incluso por conta do locador as despesas com motorista/operador, combustível e  manutenção das máquinas/caminhão, para recuperação de erosões, assentamento de manilhas, escavações de valas, em atendimento à demanda da Secretaria de Serviços Públicos do município do Prata/MG, de acordo com a necessidade.",,,,,
176/2020,DISPENSA DE LICITAÇÃO,103,15-06-2020 08:00,,16-06-2020,Encerrado,"Aquisição em caráter emergencial de Kits testes rápido qualitativo para diagnostico de pacientes suspeitos de infecção pelo Coronavírus, conforme Termo de Compromisso Autos MPT: PAJ 000810.2011.03.001/7.",,,,,
175/2020,DISPENSA DE LICITAÇÃO,102,09-06-2020 14:00,,10-06-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Moana Silva Souza, conforme determinação de Ação Judicial nº 5000645-07.2019.8.13.0528.",,,,,
174/2020,DISPENSA DE LICITAÇÃO,101,09-06-2020 13:00,,10-06-2020,Encerrado,"Aquisição de suplemento alimentar para o paciente Pedro Antônio Ferreira de Lima, conforme determinação de Ação Civil Pública nº 5001026-15.2019.8.13.0528.",,,,,
173/2020,DISPENSA DE LICITAÇÃO,100,09-06-2020 10:00,,10-06-2020,Encerrado,"Renovação de licenças de software antivírus Trend Micro Worryfree Standard, com serviço de atualização de versão e manutenção da garantia de atualização de versões, pelo período de 12 meses, atendendo as estações de trabalho e servidores da Prefeitura Municipal de Prata  MG.",,,,,
154/2020,PREGÃO PRESENCIAL,36,09-06-2020 08:30,,28-05-2020,Encerrado,"Aquisição de equipamentos diversos e mobiliário para as novas salas de aula da Escola Municipal Severiano Vilela Junqueira, bem como aquisição de eletrodomésticos e mobiliários para manutenção das Escolas Municipais, Ensino Especial-AEE, Merenda Escolar, Transporte Escolar e para Secretaria de Educação.",,,,,
169/2020,DISPENSA DE LICITAÇÃO,99,04-06-2020 16:00,,05-06-2020,Encerrado,Aquisição de máscaras de tecido para serem distribuídas a população Municipal. Conforme recurso repassado pelo Fundo Nacional de Saúde para Incremento Temporário ao Custeio dos serviços de Atenção Básica em Saúde. Conta 6240224.,,,,,
168/2020,DISPENSA DE LICITAÇÃO,98,04-06-2020 15:00,,05-06-2020,Encerrado,Aquisição de máscaras de tecido para serem distribuídas a população Municipal. Conforme recurso repassado pelo Fundo Nacional de Saúde para Incremento Temporário ao Custeio dos Serviços de Atenção Básica em Saúde. Conta 6240224.,,,,,
147/2020,TOMADA DE PREÇOS,10,03-06-2020 08:30,,19-05-2020,Encerrado,"Contratação de pessoa jurídica especializada para reforma parcial do telhado da Escola Municipal Professora Alice Bittencourt de Lima (bloco cantina e bloco da supervisão) e pintura total da Unidade Escolar (paredes internas e externas, teto de todas as salas, ",,,,,
,,,,,,,"varanda interna e muro total), localizada na Rua Paraná, nº 100, no município de Prata/MG.",,,,,
166/2020,DISPENSA DE LICITAÇÃO,97,29-05-2020 15:00,,01-06-2020,Encerrado,Aquisição de um conjunto de resistência e mão de obra para instalação na máquina secadora industrial rotativa 30 kg marca WASH LAV - modelo ISF30 elétrico (patrimônio n° 14079) do PAM - Pronto Atendimento Municipal.,,,,,
165/2020,DISPENSA DE LICITAÇÃO,96,29-05-2020 14:00,,01-06-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Maria Eduarda Amorim Dantas, conforme determinação de Ação Judicial nº 5000333-94.2020.8.13.0528.",,,,,
164/2020,DISPENSA DE LICITAÇÃO,95,29-05-2020 13:00,,01-06-2020,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528.",,,,,
163/2020,DISPENSA DE LICITAÇÃO,94,29-05-2020 10:00,,01-06-2020,Encerrado,"Aquisição de suplemento alimentar para o paciente Humberto Alves Fernandes, conforme determinação de Ação Judicial nº 5000392-82.2020.8.13.0528.",,,,,
162/2020,DISPENSA DE LICITAÇÃO,93,29-05-2020 09:00,,01-06-2020,Encerrado,"Aquisição de suplemento alimentar para o paciente José Gaspar de Oliveira, conforme determinação de Ação Civil Pública nº 0006142-58.2017.8.13.0528.",,,,,
161/2020,DISPENSA DE LICITAÇÃO,92,29-05-2020 08:00,,01-06-2020,Encerrado,"Locação de um imóvel urbano, para instalação e uso da Secretaria Municipal de Saúde, situado na Rua Santa Catarina n° 481, Bairro Edna, no município de Prata/MG.",,,,,
160/2020,DISPENSA DE LICITAÇÃO,91,28-05-2020 15:00,,29-05-2020,Encerrado,"Aquisição de medicamento excepcional para a paciente Fabiana de Castro, conforme determinação de Ação Civil Pública nº 5000178-91.2020.8.13.0528.",,,,,
159/2020,DISPENSA DE LICITAÇÃO,90,28-05-2020 14:00,,29-05-2020,Encerrado,"Contratação de empresa para serviços xerográficos de Kits Escolares para as Escolas Municipais, onde estão sendo realizadas atividades remotas destinadas a atender os alunos da Educação Infantil, Ensino Fundamental e Ensino Médio - EJA das Unidades Escolares do Município de Prata-MG, devido a Pandemia - COVID-19. Decreto n° 3.487 de 28 de Abril de 2020.",,,,,
158/2020,DISPENSA DE LICITAÇÃO,89,28-05-2020 13:00,,29-05-2020,Encerrado,Aquisição de medicamento excepcional para o paciente Edgar Costa Santos conforme determinação de Ação Civil Pública nº 0034394-17.2014.4.01.3803.,,,,,
157/2020,DISPENSA DE LICITAÇÃO,88,28-05-2020 10:00,,29-05-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Heloísa Rodrigues Moreira Leite, conforme determinação de Ação Civil Pública nº 5000307-96.2020.8.13.0528.",,,,,
156/2020,DISPENSA DE LICITAÇÃO,87,28-05-2020 09:00,,29-05-2020,Encerrado,"Aquisição de suplemento alimentar para a paciente Katariny Aparecida Tirone Lopes, conforme determinação de Ação Civil Pública nº 0022832-31.2018.8.13.0528.",,,,,
155/2020,DISPENSA DE LICITAÇÃO,86,28-05-2020 08:00,,29-05-2020,Encerrado,"Aquisição de ar condicionado 22.000 BTUs para sala de isolamento de pacientes diagnosticados ou suspeitos de COVID-19 localizada no PAM  Pronto Atendimento Municipal, incluso mão de obra e materiais para instalação. Conforme recurso repassado pelo Fundo Nacional de Saúde para Enfrentamento da Emergência de Saúde Pública  COVID-19. Conta: 6240224.",,,,,
153/2020,DISPENSA DE LICITAÇÃO,85,27-05-2020 08:00,,28-05-2020,Encerrado,"Aquisição de peças para a Motoniveladora XCMG GR1803BR, modelo GR1803BR - Chassi: XUG01803PJPB00339, a serviço da Secretaria de Agricultura e Assistência Rural.",,,,,
152/2020,DISPENSA DE LICITAÇÃO,84,25-05-2020 09:00,,26-05-2020,Encerrado,"Aquisição de equipos de bomba de infusão com cessão de 06 (seis) Bombas de Infusão em regime de comodato, para atender as demandas da Secretaria de Saúde. Conforme recurso repassado pelo Fundo Nacional de Saúde para ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA - COVID-19. Conta 6240224.",,,,,
142/2020,PREGÃO PRESENCIAL,35,25-05-2020 08:30,,12-05-2020,Encerrado,Aquisição de materiais de construção para infraestrutura em represa no Assentamento Paulo de Faria.,,,,,
136/2020,PREGÃO PRESENCIAL,34,22-05-2020 08:30,,08-05-2020,Encerrado,"Contratação de empresa prestadora de serviços de serralheria referente a confecção, instalação e pintura de grades de proteção, grade de tela artística, porta estilo grade de proteção, fachada metálica e cobertura metálica; confecção e instalação de grelha reforçada metálica, atendendo as necessidades da Biblioteca Municipal ""Sérgio Pacheco"", Secretaria de Serviços Públicos e do Centro de Esporte e Lazer-CEL.",,,,,
151/2020,DISPENSA DE LICITAÇÃO,83,21-05-2020 09:00,,22-05-2020,Encerrado,"Locação de 03 (três) tendas 5x5 por 75 (setenta e cinco) dias (período de 18/03/2020 a 31/05/2020) para as Unidades de Saúde, como medida de enfrentamento ao surto de coronavírus no município de Prata-MG. Conforme recurso transferido pelo Fundo Nacional de Saúde para Enfrentamento da Emergência de Saúde Pública -  COVID-19.",,,,,
150/2020,DISPENSA DE LICITAÇÃO,82,21-05-2020 08:00,,22-05-2020,Encerrado,Aquisição em caráter emergencial de medicamentos de uso oral e injetáveis necessários para atendimento a pacientes suspeitos ou com diagnostico de Coronavírus. Conforme recurso repassado pelo Fundo Nacional de Saúde para ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA - COVID-19. Conta 6240224.,,,,,
134/2020,PREGÃO PRESENCIAL,33,20-05-2020 08:30,,07-05-2020,Encerrado,Aquisição de relógios de ponto e módulos de baterias externas para atender a demanda de diversas Secretarias da Prefeitura Municipal de Prata/MG.,,,,,
149/2020,DISPENSA DE LICITAÇÃO,81,19-05-2020 08:00,,20-05-2020,Encerrado,Aquisição em caráter emergencial de materiais hospitalares como cateter e mascaras de oxigênio para serem usadas nos procedimentos de atendimento a pacientes suspeitos ou com diagnostico de Coronavírus. Conforme repasse pelo Fundo Nacional de Saúde para ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA - COVID-19. Conta 6240224.,,,,,
148/2020,DISPENSA DE LICITAÇÃO,80,18-05-2020 15:00,,19-05-2020,Encerrado,Aquisição em caráter emergencial de medicamentos de uso oral necessários para atendimento a pacientes suspeitos ou com diagnostico de Coronavírus. Conforme repasse pelo Fundo Nacional de Saúde para ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA - COVID-19. Conta 6240224.,,,,,
128/2020,TOMADA DE PREÇOS,9,15-05-2020 08:30,,30-04-2020,Encerrado,Contratação de empresa especializada para execução do projeto de obras de infraestrutura ,,,,,
,,,,,,,"urbana, que tem como objetivo Pavimentação Asfáltica em Concreto Betuminoso Usinado a Quente (CBUQ) e execução de meios-fios e sarjetas em diversas ruas do Município de Prata-MG, conforme convênio nº 1491000785/2019/SEGOV/PADEM, que entre si celebram o estado de Minas Gerais, por intermédio da Secretaria de Estado de Governo - SEGOV e o Município de Prata-MG.",,,,,
146/2020,DISPENSA DE LICITAÇÃO,79,14-05-2020 08:00,,15-05-2020,Encerrado,"Aquisição de sondas para a paciente Camille Bianca Eulalio Souza, conforme determinação de Ação Judicial nº 0011446-43.2014.8.13.0528.",,,,,
145/2020,DISPENSA DE LICITAÇÃO,78,12-05-2020 15:00,,13-05-2020,Encerrado,Aquisição em caráter emergencial de sacos para Cadáver e equipamentos de Proteção Individual para servidores das Unidades de Saúde do Município. Conforme repasse pelo Fundo Nacional de Saúde para ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA - COVID-19 e conforme recurso repassado pelo Fundo Nacional de Saúde para Incremento PAB - Conta 6240224.,,,,,
123/2020,PREGÃO - REGISTRO DE PREÇO,8,12-05-2020 08:30,,28-04-2020,Encerrado,Registro de preços para futura e eventual aquisição de medicamentos para a Secretaria Municipal de Saúde.,,,,,
141/2020,DISPENSA DE LICITAÇÃO,75,11-05-2020 13:00,,12-05-2020,Encerrado,"Aquisição de medicamentos para serem usados na manutenção do Pronto Atendimento Municipal  PAM, devido ata de medicamentos estar vencida e estar em falta destes medicamentos.",,,,,
144/2020,DISPENSA DE LICITAÇÃO,77,11-05-2020 09:00,,12-05-2020,Encerrado,Aquisição de máscaras de tecido para serem distribuídas a população Municipal. Conforme recurso repassado pelo Fundo Nacional de Saúde para ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA - COVID-19. Conta 6240224.,,,,,
119/2020,PREGÃO - REGISTRO DE PREÇO,7,11-05-2020 08:30,,28-04-2020,Encerrado,"Registro de preços para futura e eventual aquisição de óleos lubrificantes, para manutenção da frota de veículos e máquinas da Prefeitura Municipal de Prata-MG, durante o exercício de 2020.",,,,,
143/2020,DISPENSA DE LICITAÇÃO,76,11-05-2020 08:00,,12-05-2020,Encerrado,Aquisição de máscaras de tecido para serem distribuídas a população Municipal. Conforme recurso repassado pelo Fundo Nacional de Saúde para Incremento Temporário ao Custeio dos serviços de Atenção Básica em Saúde. Conta 6240224.,,,,,
