,N° Processo,N° Contrato,Modalidade,Tipo,Data do Aditivo,Abertura,Objeto,Valor,Datas,Situação,Editais de Licitação e Demais Arquivos,
32, 000050/2018," 0246/2018
",Pregão,Menor Preço,,15/08/2018,"AQUISICAO DE CESTAS BASICAS PARA ATENDIMENTO AOS SERVICOS EVENTUAIS PRESTADOS PELO MUNICIPIO DE CAREACU-MG ALEM DE SUPRIR AS NECESSIDADES DAS PESSOAS QUE SE ENCONTRAM EM SITUACAO DE VULNERABILIDADE SOCIAL, CONFORME DISPOSTO DA POLITICA NACIONAL DE ASSISTENCIA SOCIAL.",60000,"Edital: 01/08/2018
Homologação: 21/08/2018
Julgamento: 15/08/2018
Adjudicação: 15/08/2018
Data de publicação: 02/08/2018
Prazo de Execução: 12 Meses
",Finalizado,,
33, 000049/2018," 0244/2018
 0243/2018
 0245/2018
",Pregão,Menor Preço,,10/08/2018,AQUISICAO DE ARTEFATOS DE CIMENTO PARA A MANUTENCAO DO SETOR DE OBRAS E SERVICOS URBANOS DO MUNICIPIO DE CAREACU-MG.,253510,"Edital: 26/07/2018
Homologação: 16/08/2018
Julgamento: 10/08/2018
Adjudicação: 10/08/2018
Data de publicação: 27/07/2018
Prazo de Execução: 12 Meses
",Finalizado,,
34, 000048/2018," 0242/2018
 0241/2018
",Pregão,Menor Preço,,08/08/2018,"CONTRATRACAO DE SERVIÇOS DE TORNO, SOLDA E SERVIÇOS DE SERRALHERIA, PARA ATENDER DIVERSAS SECRETARIAS MUNICIPAIS.",213150,"Edital: 25/07/2018
Homologação: 14/08/2018
Julgamento: 08/08/2018
Adjudicação: 08/08/2018
Data de publicação: 26/07/2018
Prazo de Execução: 12 Meses
",Finalizado,,
35, 000046/2018," 0235/2018
 0236/2018
",Pregão,Menor Preço,,24/07/2018,"CONTRATACAO DE SERVICOS ELETRICOS PARA A MANUTENCAO DE VEICULOS PESADOS (CAMINHOES E ONIBUS), MAQUINAS E VEICULOS E LEVES, PERTENCENTE A FROTA MUNICIPAL.",512000,"Edital: 10/07/2018
Homologação: 30/07/2018
Julgamento: 24/07/2018
Adjudicação: 24/07/2018
Data de publicação: 12/07/2018
Prazo de Execução: 12 Meses
",Finalizado,,
36, 000046/2018 / A," 0235/2018 / ADITIVO
 0236/2018 / ADITIVO
",Pregão,Menor Preço,30/07/2019,24/07/2018,"CONTRATACAO DE SERVICOS ELETRICOS PARA A MANUTENCAO DE VEICULOS PESADOS (CAMINHOES E ONIBUS), MAQUINAS E VEICULOS E LEVES, PERTENCENTE A FROTA MUNICIPAL.",512000,"Edital: 10/07/2018
Homologação: 30/07/2018
Julgamento: 24/07/2018
Adjudicação: 24/07/2018
Data de publicação: 12/07/2018
Prazo de Execução: 12 Meses
",Finalizado,,
37, 000046/2018 / B," 0235/2018 / ADITIVO
 0236/2018 / ADITIVO
",Pregão,Menor Preço,30/07/2020,24/07/2018,"CONTRATACAO DE SERVICOS ELETRICOS PARA A MANUTENCAO DE VEICULOS PESADOS (CAMINHOES E ONIBUS), MAQUINAS E VEICULOS E LEVES, PERTENCENTE A FROTA MUNICIPAL.",512000,"Edital: 10/07/2018
Homologação: 30/07/2018
Julgamento: 24/07/2018
Adjudicação: 24/07/2018
Data de publicação: 12/07/2018
Prazo de Execução: 12 Meses
",Finalizado,,
38, 000046/2018 / C," 0235/2018 / ADITIVO
 0236/2018 / ADITIVO
",Pregão,Menor Preço,30/07/2021,24/07/2018,"CONTRATACAO DE SERVICOS ELETRICOS PARA A MANUTENCAO DE VEICULOS PESADOS (CAMINHOES E ONIBUS), MAQUINAS E VEICULOS E LEVES, PERTENCENTE A FROTA MUNICIPAL.",512000,"Edital: 10/07/2018
Homologação: 30/07/2018
Julgamento: 24/07/2018
Adjudicação: 24/07/2018
Data de publicação: 12/07/2018
Prazo de Execução: 12 Meses
",Finalizado,,
39, 000045/2018," 0229/2018
 0231/2018
 0233/2018
 0234/2018
 0230/2018
 0228/2018
 0232/2018
",Pregão,Menor Preço,,20/07/2018,AQUISICAO DE OLEO LUBRIFICANTE E FILTROS PARA A MANUTENCAO DOS VEICULOS E MAQUINAS PERTENCENTE A FROTA MUNICIPAL.,611997.7,"Edital: 09/07/2018
Homologação: 26/07/2018
Julgamento: 20/07/2018
Adjudicação: 20/07/2018
Data de publicação: 10/07/2018
Prazo de Execução: 12 Meses
",Finalizado,,
40, 000044/2018," 0227/2018
",Pregão,Menor Preço,,09/07/2018,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE PUBLICACAO E VEICULACAO DE ATOS OFICIAIS EM JORNAL DE CIRCULACAO DIARIA REGIONAL, EM ATENDIMENTO A SECRETARIA DE ADMINISTRACAO DO MUNICIPIO DE CAREACU-MG.",85200,"Edital: 25/06/2018
Homologação: 13/07/2018
Julgamento: 09/07/2018
Adjudicação: 09/07/2018
Data de publicação: 25/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
41, 000044/2018 / A," 0227/2018 / ADITIVO
",Pregão,Menor Preço,12/07/2019,09/07/2018,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE PUBLICACAO E VEICULACAO DE ATOS OFICIAIS EM JORNAL DE CIRCULACAO DIARIA REGIONAL, EM ATENDIMENTO A SECRETARIA DE ADMINISTRACAO DO MUNICIPIO DE CAREACU-MG.",85200,"Edital: 25/06/2018
Homologação: 13/07/2018
Julgamento: 09/07/2018
Adjudicação: 09/07/2018
Data de publicação: 25/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
42, 000044/2018 / B," 0227/2018 / ADITIVO
",Pregão,Menor Preço,10/07/2020,09/07/2018,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE PUBLICACAO E VEICULACAO DE ATOS OFICIAIS EM JORNAL DE CIRCULACAO DIARIA REGIONAL, EM ATENDIMENTO A SECRETARIA DE ADMINISTRACAO DO MUNICIPIO DE CAREACU-MG.",85200,"Edital: 25/06/2018
Homologação: 13/07/2018
Julgamento: 09/07/2018
Adjudicação: 09/07/2018
Data de publicação: 25/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
43, 000044/2018 / C," 0227/2018 / ADITIVO
",Pregão,Menor Preço,09/07/2021,09/07/2018,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE PUBLICACAO E VEICULACAO DE ATOS OFICIAIS EM JORNAL DE CIRCULACAO DIARIA REGIONAL, EM ATENDIMENTO A SECRETARIA DE ADMINISTRACAO DO MUNICIPIO DE CAREACU-MG.",85200,"Edital: 25/06/2018
Homologação: 13/07/2018
Julgamento: 09/07/2018
Adjudicação: 09/07/2018
Data de publicação: 25/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
44, 000043/2018," 0226/2018
",Pregão,Menor Preço,,05/07/2018,"AQUISICAO DE IMPRESSOS DIVERSOS PARA O ATENDIMENTO AOS SETORES DE EDUCACAO, SAUDE E ADMINISTRACAO DESTE MUNICIPIO.",33729.2,"Edital: 20/06/2018
Homologação: 11/07/2018
Julgamento: 05/07/2018
Adjudicação: 05/07/2018
Data de publicação: 20/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
45, 000042/2018," 0225/2018
",Pregão,Menor Preço,,04/07/2018,"AQUISICAO DE 02 (DOIS) VEICULOS 0 KM, PARA ATENDIMENTO AOS SETORES DA EDUCACAO E SAUDE DESTE MUNICIPIO.",80100,"Edital: 19/06/2018
Homologação: 10/07/2018
Julgamento: 04/07/2018
Adjudicação: 04/07/2018
Data de publicação: 20/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
46, 000041/2018," 0224/2018
 0223/2018
",Pregão,Menor Preço,,29/06/2018,"PRESTACAO DE SERVICOS DE LAVAGEM NOS VEICULOS LEVES E PESADOS, PERTENCENTE A FROTA MUNICIPAL.",41800,"Edital: 14/06/2018
Homologação: 05/07/2018
Julgamento: 29/06/2018
Adjudicação: 29/06/2018
Data de publicação: 14/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
47, 000040/2018," 0220/2018
 0218/2018
 0216/2018
 0221/2018
 0217/2018
 0222/2018
 0219/2018
",Pregão,Menor Preço,,28/06/2018,"AQUISICAO DE MATERIAL HOSPITALAR PARA MANUTENCAO DA SECRETARIA DE SAUDE E FRALDAS, EM ATENDIMENTO AOS SETORES DE SAUDE, EDUCACAO E ASSISTENCIA SOCIAL DESTE MUNICIPIO",869258.48,"Edital: 14/06/2018
Homologação: 04/07/2018
Julgamento: 28/06/2018
Adjudicação: 28/06/2018
Data de publicação: 15/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
48, 000039/2018," 0210/2018
",Pregão,Menor Preço,,20/06/2018,AQUISICAO DE 01 POLIGUINDASTE INDIVIDUAL E 10 CAÇAMBAS ESTACIONARIAS 4 M³ EM ATENDIMENTO AO SETOR DE TRANSPORTE DO MUNICIPIO DE CAREAÇU.,58800,"Edital: 07/06/2018
Homologação: 26/06/2018
Julgamento: 20/06/2018
Adjudicação: 20/06/2018
Data de publicação: 08/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
49, 000038/2018," 0208/2018
 0209/2018
",Pregão,Menor Preço,,15/06/2018,"CONTRATACAO DE UMA EMPRESA VISANDO O FORNECIMENTO DE BOTIJOES DE GAS P13 E CILINDROS DE GAS P45, PARA A MANUTENCAO DOS SETORES DA EDUCACAO, ADMINISTRACAO, SAUDE E O CRAS (CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL) DA PREFEITURA MUNICIPAL.",56900,"Edital: 04/06/2018
Homologação: 21/06/2018
Julgamento: 15/06/2018
Adjudicação: 15/06/2018
Data de publicação: 05/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
50, 000037/2018," 0207/2018
",Pregão,Menor Preço,,13/06/2018,"CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MEDICAMENTOS ETICO, SIMILAR E GENERICO, COM MAIOR DESCONTO (%) NA TABELA OFICIAL DA CMED/ANVISA, EM ATENDIMENTO DO SETOR DA SAUDE E DA ASSISTENCIA SOCIAL DA PREFEITURA MUNICIPAL DE CAREACU/MG.",Maior Desconto,"Edital: 29/05/2018
Homologação: 19/06/2018
Julgamento: 13/06/2018
Adjudicação: 13/06/2018
Data de publicação: 30/05/2018
Prazo de Execução: 12 Meses
",Finalizado,,
51, 000036/2018," 0204/2018
 0202/2018
 0203/2018
",Pregão,Menor Preço,,12/06/2018,"CONTRATACAO DE EMPRESA PARA A PRESTACAO DE SERVICOS MECANICOS PARA A MANUTENCAO DE VEICULOS PESADOS (CAMINHOES E ONIBUS), MAQUINAS E VEICULOS LEVES, PERTENCENTE A FROTA MUNICIPAL.",443700,"Edital: 23/05/2018
Homologação: 18/06/2018
Julgamento: 12/06/2018
Adjudicação: 12/06/2018
Data de publicação: 24/05/2018
Prazo de Execução: 12 Meses
",Finalizado,, Baixa_empresa_Anisio_do_Prado_Batista.pdf
52, 000034/2018," 0201/2018
 0200/2018
 0288/2018
",Pregão,Menor Preço,,07/06/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA, PARA PRESTACAO DE SERVICOS DE BORRACHARIA PARA A MANUTENCAO DOS VEICULOS, PERTENCENTE A FROTA MUNICIPAL.",146400,"Edital: 21/05/2018
Homologação: 13/06/2018
Julgamento: 07/06/2018
Adjudicação: 07/06/2018
Data de publicação: 22/05/2018
Prazo de Execução: 12 Meses
",Finalizado,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55, 000033/2018," 0180/2018
",Dispensa,Menor Preço,,16/05/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DAS DEPENDENCIAS DO PAÇO MUNICIPAL.,14400,"Homologação: 16/05/2018
Julgamento: 16/05/2018
Adjudicação: 16/05/2018
",Finalizado,,
56, 000033/2018 / A," 0180/2018 / ADITIVO
 0180/2018 / ADITIVO
",Dispensa,Menor Preço,16/05/2019,16/05/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DAS DEPENDENCIAS DO PAÇO MUNICIPAL.,15646.44,"Homologação: 16/05/2018
Julgamento: 16/05/2018
Adjudicação: 16/05/2018
",Finalizado,,
57, 000033/2018 / B," 0180/2018 / ADITIVO
",Dispensa,Menor Preço,15/05/2020,16/05/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DAS DEPENDENCIAS DO PAÇO MUNICIPAL.,7823.22,"Homologação: 16/05/2018
Julgamento: 16/05/2018
Adjudicação: 16/05/2018
",Finalizado,,
58, 000033/2018 / C," 0180/2018 / ADITIVO
",Dispensa,Menor Preço,13/11/2020,16/05/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DAS DEPENDENCIAS DO PAÇO MUNICIPAL.,1303.87,"Homologação: 16/05/2018
Julgamento: 16/05/2018
Adjudicação: 16/05/2018
",Finalizado,,
59, 000033/2018 / D," 0180/2018 / ADITIVO
",Dispensa,Menor Preço,11/12/2020,16/05/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DAS DEPENDENCIAS DO PAÇO MUNICIPAL.,1303.87,"Homologação: 16/05/2018
Julgamento: 16/05/2018
Adjudicação: 16/05/2018
",Finalizado,,
60, 000033/2018 / E," 0180/2018 / ADITIVO
",Dispensa,Menor Preço,11/01/2021,16/05/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DAS DEPENDENCIAS DO PAÇO MUNICIPAL.,2607.74,"Homologação: 16/05/2018
Julgamento: 16/05/2018
Adjudicação: 16/05/2018
",Finalizado,,
61, 000032/2018," 0198/2018
 0199/2018
",Pregão,Menor Preço,,05/06/2018,"CONTRATACAO DE PRESTACAO DE SERVICOS, COM UMA MAQUINA ESCAVADEIRA HIDRAULICA, UMA MAQUINA RETROESCAVADEIRA E UM CAMINHAO PRANCHA, PARA EXECUCAO DE SERVICOS DIVERSOS COMO MANUTENCAO DE ESTRADAS VICINAIS E DE VIAS URBANAS E LOGRADOUROS, ATERROS, DESATERROS, REGULARIZACAO E LIMPEZA DE VIAS URBANAS, PAVIMENTACAO COM CASCALHO DE ESTRADAS MUNICIPAIS, ABERTURA DE VALAS, DRENAGEM, SERVICOS NO DEPOSITO DE LIXO MUNICIPAL ETC.",276600,"Edital: 17/05/2018
Homologação: 11/06/2018
Julgamento: 05/06/2018
Adjudicação: 05/06/2018
Data de publicação: 18/05/2018
Prazo de Execução: 12 Meses
",Finalizado,,
62, 000031/2018," 0197/2018
",Pregão,Menor Preço,,30/05/2018,"AQUISICAO DE SEIXO ROLADO, AREIA E CASCALHO LAVADO, PARA USO NO SETOR DE ESTRADA DE RODAGEM E OBRAS DESTE MUNICIPIO.",94400,"Edital: 16/05/2018
Homologação: 07/06/2018
Julgamento: 30/05/2018
Adjudicação: 30/05/2018
Data de publicação: 17/05/2018
Prazo de Execução: 12 Meses
",Finalizado,,
63, 000030/2018," 0196/2018
 0195/2018
 0194/2018
",Pregão,Menor Preço,,29/05/2018,AQUISICAO DE MATERIAL ODONTOLOGICO PARA MANUTENCAO DA SECRETARIA DE SAUDE MUNICIPAL.,95834.2,"Edital: 15/05/2018
Homologação: 06/06/2018
Julgamento: 29/05/2018
Adjudicação: 29/05/2018
Data de publicação: 16/05/2018
Prazo de Execução: 12 Meses
",Finalizado,,
64, 000029/2018," 0181/2018
",Pregão,Menor Preço,,11/05/2018,CONTRATACAO DE UMA EMPRESA ESPECIALIZADA PARA PRODUCAO E FORNECIMENTO DE SALGADOS E BOLOS DIVERSOS.,45000,"Edital: 25/04/2018
Homologação: 17/05/2018
Julgamento: 11/05/2018
Adjudicação: 11/05/2018
Data de publicação: 26/04/2018
Prazo de Execução: 12 Meses
",Finalizado,,
65, 000028/2018," 0188/2018
 0187/2018
 0189/2018
 0184/2018
 0186/2018
 0182/2018
 0185/2018
 0183/2018
",Pregão,Menor Preço,,08/05/2018,AQUISICAO DE MATERIAL ESCOLAR PARA A MANUTENCAO DO SETOR DE EDUCACAO E MATERIAIS DIVERSOS PARA A MANUTENCAO DOS SETORES DA ADMINISTRACAO MUNICIPAL.,418127,"Edital: 19/04/2018
Homologação: 21/05/2018
Julgamento: 08/05/2018
Adjudicação: 15/05/2018
Data de publicação: 20/04/2018
Prazo de Execução: 12 Meses
",Finalizado,,
66, 000027/2018,,Pregão,Menor Preço,,27/04/2018,EVENTUAL E FUTURA AQUISICAO DE PECAS ORIGINAIS PARA VEICULOS AUTOMOTORES E MAQUINAS PERTENCENTES A FROTA DO MUNICIPIO DE CAREACU/MG.,Maior Desconto,"Edital: 12/04/2018
Homologação: 07/05/2018
Julgamento: 27/04/2018
Adjudicação: 27/04/2018
Data de publicação: 13/04/2018
Prazo de Execução: 12 Meses
",Finalizado,,
67, 000026/2018," 0150/2018
",Dispensa,Técnica e Preço,,10/04/2018,"LOCACAO DE MAQUINAS COPIADORAS, EM ATENDIMENTO AOS SETORES DE SAUDE, EDUCACAO E ADMINISTRACAO MUNICIPAL.",7200,"Homologação: 12/04/2018
Julgamento: 10/04/2018
Adjudicação: 10/04/2018
",Finalizado,,
68, 000025/2018," 0177/2018
",Tomada de Preços,Menor Preço,,02/05/2018,"CALCAMENTO EM BLOQUETES DE CONCRETO, DRENAGEM SUPERFICIAL, SINALIZACAO VIARIA, ORCAMENTO, ACESSIBILIDADE PARA RUAS GOIAS, BAHIA E ESPIRITO SANTO LOCALIZADA NO LOTEAMENTO DO PESCADOR.",255152.44,"Edital: 06/04/2018
Homologação: 08/05/2018
Julgamento: 02/05/2018
Adjudicação: 02/05/2018
Data de publicação: 09/04/2018
Prazo de Execução: 120 Dias
",Finalizado,,
69, 000024/2018," 0134/2018
",Dispensa,Menor Preço,,06/04/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DA CLINICA DE FISIOTERAPIA MUNICIPAL.,14400,"Homologação: 06/04/2018
Julgamento: 06/04/2018
Adjudicação: 06/04/2018
",Finalizado,,
70, 000024/2018 / A," 0134/2018 / ADITIVO
",Dispensa,Menor Preço,05/04/2019,06/04/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DA CLINICA DE FISIOTERAPIA MUNICIPAL.,14400,"Homologação: 06/04/2018
Julgamento: 06/04/2018
Adjudicação: 06/04/2018
",Finalizado,,
71, 000024/2018 / B," 0134/2018 / ADITIVO
",Dispensa,Menor Preço,03/04/2020,06/04/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DA CLINICA DE FISIOTERAPIA MUNICIPAL.,14400,"Homologação: 06/04/2018
Julgamento: 06/04/2018
Adjudicação: 06/04/2018
",Finalizado,,
72, 000024/2018 / C," 0134/2018 / ADITIVO
",Dispensa,Menor Preço,01/04/2021,06/04/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DA CLINICA DE FISIOTERAPIA MUNICIPAL.,14400,"Homologação: 06/04/2018
Julgamento: 06/04/2018
Adjudicação: 06/04/2018
",Finalizado,,
73, 000023/2018," 0154/2018
",Pregão,Menor Preço,,20/04/2018,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE REFEICOES E REFRIGERANTES PARA ATENDER AOS DIVERSOS SETORES DA ADMINISTRACAO DO MUNICIPIO DE CAREACU-MG.,30640,"Edital: 05/04/2018
Homologação: 26/04/2018
Julgamento: 20/04/2018
Adjudicação: 20/04/2018
Data de publicação: 06/04/2018
Prazo de Execução: 12 Meses
",Finalizado,,
74, 000021/2018," 0205/2018
 0205/2018
 0205/2018
",Concorrência,Menor Preço,,14/05/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA DO RAMO DE CONSTRUCAO CIVIL, COM VISTAS A EXECUCAO DE OBRAS E SERVICOS DE ENGENHARIA DESTINADOS A CONSTRUCAO DO PAÇO MUNICIPAL.",1243938.08,"Edital: 28/03/2018
Homologação: 18/06/2018
Julgamento: 14/05/2018
Adjudicação: 18/06/2018
Data de publicação: 29/03/2018
Prazo de Execução: 18 Meses
",Finalizado,,
75, 000021/2018 / A," 0205/2018 / ADITIVO
",Concorrência,Menor Preço,27/07/2020,14/05/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA DO RAMO DE CONSTRUCAO CIVIL, COM VISTAS A EXECUCAO DE OBRAS E SERVICOS DE ENGENHARIA DESTINADOS A CONSTRUCAO DO PAÇO MUNICIPAL.",90821.51,"Edital: 28/03/2018
Homologação: 18/06/2018
Julgamento: 14/05/2018
Adjudicação: 18/06/2018
Data de publicação: 29/03/2018
Prazo de Execução: 18 Meses
",Finalizado,,
76, 000020/2018," 0125/2018
",Inexigibilidade,Melhor Técnica,,16/03/2018,"CONTRATACAO DA MASTER BANDA SHOW NO DIA 30 DE ABRIL DE 2018, RESPECTIVAMENTE, A PARTIR DAS 23H00 MIN., NO EVENTO CULTURAL ""AGITA CAREAÇU 13 ANOS"".",25000,"Homologação: 29/03/2018
Julgamento: 16/03/2018
Adjudicação: 20/03/2018
",Finalizado,,
77, 000019/2018," 0124/2018
",Inexigibilidade,Melhor Técnica,,16/03/2018,"CONTRATACAO DA BANDA LEX LUTHOR NO DIA 29 DE ABRIL DE 2018, RESPECTIVAMENTE, A PARTIR DAS 23H00 MIN., NO EVENTO CULTURAL ""AGITA CAREAÇU 13 ANOS"".",38000,"Homologação: 29/03/2018
Julgamento: 16/03/2018
Adjudicação: 19/03/2018
",Finalizado,,
78, 000018/2018," 0123/2018
",Inexigibilidade,Melhor Técnica,,15/03/2018,"CONTRATACAO DA DUPLA SERTANEJA ALYSSON E ADYSSON NO DIA 28 DE ABRIL DE 2018, RESPECTIVAMENTE, A PARTIR DAS 23H00 MIN., NO EVENTO CULTURAL ""AGITA CAREAÇU 13 ANOS"".",15500,"Homologação: 28/03/2018
Julgamento: 15/03/2018
Adjudicação: 16/03/2018
",Finalizado,,
79, 000017/2018," 0143/2018
 0145/2018
 0140/2018
 0141/2018
 0144/2018
 0142/2018
 0147/2018
 0148/2018
 0149/2018
 0138/2018
 0137/2018
 0146/2018
 0139/2018
",Pregão,Menor Preço,,03/04/2018,AQUISICAO DE MEDICAMENTOS PARA A MANUTENCAO DO SETOR DE SAUDE MUNICIPAL.,845014.06,"Edital: 15/03/2018
Homologação: 09/04/2018
Julgamento: 03/04/2018
Adjudicação: 03/04/2018
Data de publicação: 16/03/2018
Prazo de Execução: 12 Meses
",Finalizado,,
80, 000017/2018 / A," 0143/2018 / ADITIVO
 0140/2018 / ADITIVO
 0141/2018 / ADITIVO
 0142/2018 / ADITIVO
 0138/2018 / ADITIVO
 0137/2018 / ADITIVO
",Pregão,Menor Preço,16/01/2019,03/04/2018,AQUISICAO DE MEDICAMENTOS PARA A MANUTENCAO DO SETOR DE SAUDE MUNICIPAL.,12635.37,"Edital: 15/03/2018
Homologação: 09/04/2018
Julgamento: 03/04/2018
Adjudicação: 03/04/2018
Data de publicação: 16/03/2018
Prazo de Execução: 12 Meses
",Finalizado,,
81, 000016/2018," 0115/2018
",Dispensa,Menor Preço,,28/03/2018,"CONTRATACAO DE UMA EMPRESA PARA O FORNECIMENTO DE OVOS DE PASCOA, EM ATENDIMENTO AO SETOR DE EDUCACAO DESTE MUNICIPIO.",7862.5,"Homologação: 28/03/2018
Julgamento: 28/03/2018
Adjudicação: 28/03/2018
",Finalizado,,
82, 000014/2018," 0128/2018
 0129/2018
 0127/2018
 0130/2018
",Pregão,Menor Preço,,27/03/2018,"AQUISICAO DE MATERIAIS DE CONSTRUCAO, PARA A MANUTENCAO DE VARIOS SETORES DA ADMINISTRACAO MUNICIPAL.",231174.15,"Edital: 12/03/2018
Homologação: 03/04/2018
Julgamento: 27/03/2018
Adjudicação: 27/03/2018
Data de publicação: 13/03/2018
Prazo de Execução: 12 Meses
",Finalizado,,
83, 000014/2018 / A," 0128/2018 / ADITIVO
",Pregão,Menor Preço,08/10/2018,27/03/2018,"AQUISICAO DE MATERIAIS DE CONSTRUCAO, PARA A MANUTENCAO DE VARIOS SETORES DA ADMINISTRACAO MUNICIPAL.",23174.55,"Edital: 12/03/2018
Homologação: 03/04/2018
Julgamento: 27/03/2018
Adjudicação: 27/03/2018
Data de publicação: 13/03/2018
Prazo de Execução: 12 Meses
",Finalizado,,
84, 000013/2018," 0112/2018
",Pregão,Menor Preço,,20/03/2018,CONTRATACAO DE SERVICO DE MAO DE OBRA ESPECIALIZADA EM SERVICOS ELETRICOS NOS PREDIOS PUBLICOS NO MUNICIPIO DE CAREACU-MG.,37500,"Edital: 05/03/2018
Homologação: 26/03/2018
Julgamento: 20/03/2018
Adjudicação: 20/03/2018
Data de publicação: 06/03/2018
Prazo de Execução: 12 Meses
",Finalizado,,
85, 000012/2018," 0119/2018
 0122/2018
 0116/2018
 0120/2018
 0118/2018
 0121/2018
 0117/2018
",Dispensa,Menor Preço,,22/03/2018,"AQUISICAO DE GENEROS ALIMENTICIOS, EM ATENDIMENTO AO SETOR DA MERENDA ESCOLAR DESTE MUNICIPIO, NA CONFORMIDADE DO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR - PNAE, NOS MOLDES DA LEI Nº 11947/2009 E RESOLUCAO 38/2009 DE 16/07/2009 (FNDE), LEI 8666/93, ART.24.",135309.2,"Homologação: 28/03/2018
Julgamento: 22/03/2018
Adjudicação: 22/03/2018
",Finalizado,,
86, 000010/2018," 0110/2018
 0106/2018
 0109/2018
 0104/2018
 0105/2018
 0108/2018
 0107/2018
",Pregão,Menor Preço,,06/03/2018,CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE MATERIAL DE LIMPEZA E UTENSILIOS PARA A MANUTENCAO DOS SETORES DA EDUCACAO E ADMINISTRACAO DA PREFEITURA MUNICIPAL.,255686.72,"Edital: 19/02/2018
Homologação: 12/03/2018
Julgamento: 06/03/2018
Adjudicação: 06/03/2018
Data de publicação: 20/02/2018
Prazo de Execução: 12 Meses
",Finalizado,,
87, 000009/2018," 0098/2018
 0099/2018
 0097/2018
 0100/2018
 0101/2018
",Pregão,Menor Preço,,27/02/2018,AQUISICAO DE PNEUS PARA A MANUTENCAO DOS VEICULOS E MAQUINAS PERTENCENTE A FROTA MUNICIPAL.,583178.5,"Edital: 06/02/2018
Homologação: 05/03/2018
Julgamento: 27/02/2018
Adjudicação: 27/02/2018
Data de publicação: 07/02/2018
Prazo de Execução: 12 Meses
",Finalizado,,
88, 000007/2018," 0085/2018
",Pregão,Menor Preço,,20/02/2018,CONTRATACAO DE EMPRESA ESPECIALIZADA NA LOCACAO DE BRINQUEDOS (PARQUE INFANTIL) PARA REALIZACAO DOS EVENTOS TRADICIONAIS DO MUNICIPIO DE CAREACU/MG.,88200,"Edital: 30/01/2018
Homologação: 26/02/2018
Julgamento: 20/02/2018
Adjudicação: 20/02/2018
Data de publicação: 31/01/2018
Prazo de Execução: 12 Meses
",Finalizado,,
89, 000006/2018," 0084/2018
",Pregão,Menor Preço,,16/02/2018,"AQUISICAO DE VALVULA CODIGO DA PECA 2480481000 (COMANDO DIANTEIRO DA MAQUINA RETROESCAVADEIRA CATERPILLAR 416E CHASSI CAT0416E JMFG05026 ANO 2013 RETIFICADA E VALVULA CODIGO DA PECA 2480483000 (COMANDO TRASEIRO DA MAQUINA RETROESCAVADEIRA CATERPILLAR 416E CHASSI CAT0416E JMFG05026 ANO 2013, RETIFICADA).",52000,"Edital: 29/01/2018
Homologação: 22/02/2018
Julgamento: 16/02/2018
Adjudicação: 16/02/2018
Data de publicação: 30/01/2018
Prazo de Execução: 12 Meses
",Finalizado,,
90, 000005/2018," 0083/2018
",Pregão,Menor Preço,,15/02/2018,AQUISICAO DE TUBOS DE ESGOTO PARA A MANUTENCAO DO SETOR DE OBRAS E SERVICOS URBANOS DO MUNICIPIO DE CAREACU-MG.,29850,"Edital: 29/01/2018
Homologação: 21/02/2018
Julgamento: 15/02/2018
Adjudicação: 15/02/2018
Data de publicação: 30/01/2018
Prazo de Execução: 12 Meses
",Finalizado,,
